Category,Item,Description,Price,Image_Source(URL)
Grills & Chips,Full Chicken,Chips,R250.00,Image 1
Grills & Chips,1/4 Chicken ,Chips,R85.00,Image 1
Grills & Chips,Fish,Chips,R60.00,Image 1
Grills & Chips,4 x Wings,Chips,R70.00,Image 1
Grills & Chips,8 x Wings,Chips,R140.00,Image 1
Grills & Chips,12 x Wings,Wings & Chips,R180.00,Image 1
Grills & Chips,Beef/Pork cut,Chips,R100.00,Image 1
Grills & Chips,Beef/Pork cut,wors & Chips,R150.00,Image 1
Grills & Chips,Pork Ribs (300g) ,Chips,R100.00,Image 1
Platters,Platter 1,"1x Beef/Pork, 4x Wings, 2x Wors, 2x Viennas, 1x 300g Ribs, Chips",R300.00,Image 1
Platters,Platter 2,"2x Beef/Pork, 8x Wings, 4x Wors, 4x Viennas, 2x 300g Ribs, Chips",R550.00,Image 1
Platters,Platter 3,"3x Beef/Pork, 12x Wings, 4x Wors, 6x Viennas, 3x 300g Ribs, Chips",R650.00,Image 1
Traditional Platters,Platter 1,"Skopo, Mogodu, Pork Trotters , Sheep Trotters, Salad, Pap",R350.00,Image 2
Traditional Platters,Platter 2,"Chicken feet, Livers, Intestines, Gizzards, Salad, Pap",R250.00,Image 2
Braai Meat,Beef/Pork & Wors,Pap + 2 Salads + Gravy,R130.00,Image 3
Braai Meat,1/4 Chicken, Pap + 2 Salads + Gravy,R80.00,Image 3
Braai Meat,1/4 Chicken & Wors,Pap + 2 Salads + Gravy,R120.00,Image 3
Cooked Meals,Skopo (half cut),Pap + 2 Salads + Gravy,R150.00,Image 3
Cooked Meals,Beef Stew,Pap + 2 Salads + Gravy,R80.00,Image 3
Cooked Meals,Mogodu,Pap + 2 Salads + Gravy,R60.00,Image 3
Cooked Meals,Pork Trotters (Thlakwana),Pap + 2 Salads + Gravy,R60.00,Image 3
Kotas,Slay Queen,"Archar, egg & chips",R20.00,Image 4
Kotas,Ghana,"Archar, Polony, egg & chips",R22.00,Image 4
Kotas,Vuka,"Archar, Polony, cheese & chips",R22.00,Image 4
Kotas,Metampelong,"Archar, cheese, Polony, egg & chips",R25.00,Image 4
Kotas,Phelindaba,"Archar, vianna, Polony, egg & chips",R28.00,Image 4
Kotas,Skotipola,"Archar, cheese, Russian, Polony, egg & chips",R30.00,Image 4
Kotas,Gomora,"Archar, patty, cheese, russian, egg & chips",R50.00,Image 4
Kotas,Quantum,"Archar, patty, russian, pork rib, cheese, egg & chips",R60.00,Image 4
Chips,Chips,Small,R20.00,Image 4
Chips,Chips,Medium,R30.00,Image 4
Chips,Chips,Large,R40.00,Image 4
Extras,Skopo,Half Cut,R100.00,Image 3
Extras,1/4 Chicken,1/4,R50.00,Image 3
Extras,Beef or Pork,Cut,R50.00,Image 3
Extras,Pork Trotter,Thlakwana,R40.00,Image 3
Extras,Sheep Trotter,Thlakwana,R20.00,Image 3
Extras,Stew ,Beef or Chicken,R50.00,Image 3
Extras,Wors,,R30.00,Image 3
Extras,Fish,,R30.00,Image 3
Extras,Pap,,R10.00,Image 3
Extras,Salad,,R10.00,Image 3
Extras,Gravy,Tomato,R10.00,Image 3
Extras,Regular Russian,,R15.00,Image 4
Extras,Pork Russian,,R20.00,Image 4
Extras,Cheese Slice,,R5.00,Image 4
Extras,Polony Slice,,R4.00,Image 4
Extras,EGG,,R6.00,Image 4
Extras,Archaar,Small,R5.00,Image 4
Extras,Archaar,1kg,R60.00,Image 4
